LCT,set_number,gamma_detection_method,alpha_detection_method,beta_detection_method,set_read_index,weight_total_kg,pabs_trawl,p_abs_eDNA,kingdom,phylum,class,order,family,genus,environment,depth_range_min,depth_range_max,max_length_cm,common_length_cm,in_range,habitat
Merluccius productus,9,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,4.836649071,39.702,1,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic
Merluccius productus,6,both eDNA/trawl,only trawl,both eDNA/trawl,0,13.704,1,0,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic
Oncorhynchus keta,12,both eDNA/trawl,only trawl,both eDNA/trawl,0,1.338,1,0,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,250,100,58,y,benthopelagic
Oncorhynchus keta,16,both eDNA/trawl,only eDNA,both eDNA/trawl,0.618727902,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,250,100,58,y,benthopelagic
Oncorhynchus keta,8,both eDNA/trawl,only eDNA,both eDNA/trawl,3,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,250,100,58,y,benthopelagic
Oncorhynchus keta,15,both eDNA/trawl,only eDNA,both eDNA/trawl,3,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,250,100,58,y,benthopelagic
Reinhardtius evermanni,6,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Reinhardtius ,demersal,20,1200,100,54,y,demersal
Oncorhynchus kisutch,1,both eDNA/trawl,only eDNA,both eDNA/trawl,5.064482645,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic,0,250,108,71,y,pelagic
Oncorhynchus kisutch,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,4.892989727,3.564,1,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic,0,250,108,71,y,pelagic
Oncorhynchus kisutch,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.841041508,0.852,1,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic,0,250,108,71,y,pelagic
Oncorhynchus kisutch,4,both eDNA/trawl,only trawl,both eDNA/trawl,0,3.188,1,0,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic,0,250,108,71,y,pelagic
Oncorhynchus kisutch,7,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.034,1,0,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic,0,250,108,71,y,pelagic
Oncorhynchus kisutch,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.243412353,0.344,1,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic,0,250,108,71,y,pelagic
Reinhardtius hippoglossoides,9,only trawl,only trawl,only trawl,0,3.034,1,0,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Reinhardtius,benthopelagic,1,2200,110,56,y,benthopelagic
Cryptacanthodes giganteus,12,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Teleostei,Perciformes,Cryptacanthodidae,Cryptacanthodes,demersal,6,128,117,NA,y,demersal
Anoplopoma fimbria,14,both eDNA/trawl,only eDNA,both eDNA/trawl,18.16895472,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,bathydemersal,175,2740,120,80,y,bathydemersal
Anoplopoma fimbria,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,0.195886221,2.528,1,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,bathydemersal,175,2740,120,80,y,bathydemersal
Anoplopoma fimbria,12,both eDNA/trawl,only eDNA,both eDNA/trawl,0.578337802,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,bathydemersal,175,2740,120,80,y,bathydemersal
Anoplopoma fimbria,7,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.732,1,0,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,bathydemersal,175,2740,120,80,y,bathydemersal
Anoplopoma fimbria,9,both eDNA/trawl,only eDNA,both eDNA/trawl,0.436156762,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,bathydemersal,175,2740,120,80,y,bathydemersal
Anoplopoma fimbria,3,both eDNA/trawl,only eDNA,both eDNA/trawl,0.202888854,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,bathydemersal,175,2740,120,80,y,bathydemersal
Anoplopoma fimbria,16,both eDNA/trawl,only eDNA,both eDNA/trawl,0.415399371,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,bathydemersal,175,2740,120,80,y,bathydemersal
Squalus suckleyi,1,both eDNA/trawl,only eDNA,both eDNA/trawl,7.884375726,0,0,1,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic
Squalus suckleyi,11,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.163220929,4.376,1,1,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic
Squalus suckleyi,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,5.636270152,43.49,1,1,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic
Squalus suckleyi,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,26.79881789,17.998,1,1,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic
Squalus suckleyi,10,both eDNA/trawl,only trawl,both eDNA/trawl,0,9.54,1,0,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic
Squalus suckleyi,15,both eDNA/trawl,only eDNA,both eDNA/trawl,2.625525952,0,0,1,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic
Squalus suckleyi,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1.150534498,0,0,1,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic
Squalus suckleyi,2,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,0.48216828,1.718,1,1,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic
Squalus suckleyi,3,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.806,1,0,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic
Squalus suckleyi,4,both eDNA/trawl,only trawl,both eDNA/trawl,0,7.882,1,0,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic
Squalus suckleyi,6,both eDNA/trawl,only trawl,both eDNA/trawl,0,11.378,1,0,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic
Squalus suckleyi,7,both eDNA/trawl,only trawl,both eDNA/trawl,0,7.344,1,0,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic
Squalus suckleyi,9,both eDNA/trawl,only trawl,both eDNA/trawl,0,15.92,1,0,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic
Squalus suckleyi,14,both eDNA/trawl,only eDNA,both eDNA/trawl,0.028710905,0,0,1,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic
Oncorhynchus tshawytscha,12,both eDNA/trawl,only trawl,both eDNA/trawl,0,8.722,1,0,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,375,150,70,y,benthopelagic
Oncorhynchus tshawytscha,13,both eDNA/trawl,only trawl,both eDNA/trawl,0,6.464,1,0,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,375,150,70,y,benthopelagic
Oncorhynchus tshawytscha,14,both eDNA/trawl,only trawl,both eDNA/trawl,0,6.158,1,0,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,375,150,70,y,benthopelagic
Oncorhynchus tshawytscha,10,both eDNA/trawl,only trawl,both eDNA/trawl,0,16.116,1,0,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,375,150,70,y,benthopelagic
Oncorhynchus tshawytscha,16,both eDNA/trawl,only trawl,both eDNA/trawl,0,2.596,1,0,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,375,150,70,y,benthopelagic
Oncorhynchus tshawytscha,8,both eDNA/trawl,only trawl,both eDNA/trawl,0,9.46,1,0,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,375,150,70,y,benthopelagic
Oncorhynchus tshawytscha,9,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.88,1,0,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,375,150,70,y,benthopelagic
Oncorhynchus tshawytscha,15,both eDNA/trawl,only trawl,both eDNA/trawl,0,16.94,1,0,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,375,150,70,y,benthopelagic
Beringraja binoculata,14,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Beringraja,demersal,3,800,244,180,y,demersal
Corphaenidoes sp,7,only trawl,only trawl,only trawl,0,0.002,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zoarcidae sp,6,only trawl,only trawl,only trawl,0,0.07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
