set_number,common_name,leg.x,location,date.x,size_class,number_retained_for_isotopes_and_other_analyses,fa_sample,comments,processed,individs_caught,species,kingdom,phylum,class,order,family,genus,level,LCT,area,line,net_tow,date.y,time_in_water_gmt,start_latitude_n,start_longitude_w,time_door_in,lat_door_in_deg,lat_door_in_min,long_door_in_deg,long_door_in_min,time_door_out,lat_door_out_deg,lat_door_out_min,long_door_out_deg,long_door_out_min,time_out_of_water_gmt,end_latitude_n,end_longitude_w,bottom_depth_m,depth_range_targeted_m,depth_mean,time_target_depth_start_gmt,time_target_depth_stop_gmt,average_wire_out,vessel_tow_speed_knots,codend_fullness,fraction_processed,notes,north_south,lat_door_in_dd,long_door_in_dd,lat_door_out_dd,long_door_out_dd,duration_minutes
9,Greenland Halibut,2,Juan de Fuca Strait,2018-08-08T00:00:00Z,NA,4,4,NA,Y,4,Reinhardtius hippoglossoides,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,species,Reinhardtius hippoglossoides,JF,F7,9,18-08-08,21:56,48 18.950,123 45.401,22:04,48,18.961,123,45.271,22:34,48,19.449,123,46.886,22:41,48 19.389,123 47.266,172,140-120,130,22:10,22:30,210 fm,~2.4,-,-,,southern,48.31601666666667,-123.75451666666666,48.32415,-123.78143333333334,30
9,Walleye Pollock,2,Juan de Fuca Strait,2018-08-08T00:00:00Z,small,5,5,samples taken for isotopes and FA from different individuals,Y,NA,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus,JF,F7,9,18-08-08,21:56,48 18.950,123 45.401,22:04,48,18.961,123,45.271,22:34,48,19.449,123,46.886,22:41,48 19.389,123 47.266,172,140-120,130,22:10,22:30,210 fm,~2.4,-,-,,southern,48.31601666666667,-123.75451666666666,48.32415,-123.78143333333334,30
9,Eulachon,2,Juan de Fuca Strait,2018-08-08T00:00:00Z,NA,10,5,samples taken for isotopes and FA from different individuals,Y,100,Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,species,Thaleichthys pacificus,JF,F7,9,18-08-08,21:56,48 18.950,123 45.401,22:04,48,18.961,123,45.271,22:34,48,19.449,123,46.886,22:41,48 19.389,123 47.266,172,140-120,130,22:10,22:30,210 fm,~2.4,-,-,,southern,48.31601666666667,-123.75451666666666,48.32415,-123.78143333333334,30
10,Lamprey,NA,NA,NA,NA,NA,NA,NA,NA,2,Entosphenus tridentatus,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Entosphenus,species,Entosphenus tridentatus,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
10,Eulachon,2,Juan de Fuca Strait,2018-08-10T00:00:00Z,NA,2,2,NA,Y,2,Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,species,Thaleichthys pacificus,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
10,Pacific Herring,NA,NA,NA,NA,NA,NA,NA,NA,19,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
10,Walleye Pollock,NA,NA,NA,NA,NA,NA,NA,NA,101,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
10,Spiny Dogfish,NA,NA,NA,NA,NA,NA,NA,NA,8,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
10,Pacific Herring,2,Juan de Fuca Strait,2018-08-10T00:00:00Z,large,5,5,NA,Y,NA,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
10,Chinook Salmon,2,Juan de Fuca Strait,2018-08-10T00:00:00Z,NA,14,14,"scales from individuals #27 and #28 taken from right side above lateral line; scales taken from regular spot for rest of them (on right side, 2-3 lines below lateral line, behind dorsal fin)",Y (we have 10),14,Oncorhynchus tshawytscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus tshawytscha,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
10,Spiny Dogfish,2,Juan de Fuca Strait,2018-08-10T00:00:00Z,large,4,4,NA,Y,NA,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
10,Pacific Lamprey,2,Juan de Fuca Strait,2018-08-10T00:00:00Z,NA,2,2,NA,Y,NA,Entosphenus tridentatus,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Entosphenus,species,Entosphenus tridentatus,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
10,Pacific Herring,2,Juan de Fuca Strait,2018-08-10T00:00:00Z,small,5,0,NA,Y,NA,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
10,Pacific Pacific Hake,NA,NA,NA,NA,NA,NA,NA,NA,98,Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,species,Merluccius productus,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
11,Myctophiid sp,NA,NA,NA,NA,NA,NA,NA,NA,10,Diaphus theta,Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,species,Diaphus theta,JF,F27,11,18-08-10,20:20,48 28.477,124 30.917,20:29,48,28.341,124,30.823,21:04,48,28.994,124,32.067,21:09,48 28.807,124 32.219,213,200,200,20:36,20:57,275-330 fm,~2.3,1 basket,-,,southern,48.47235,-124.51371666666667,48.48323333333333,-124.53445,35
11,Pacific Hake,2,Juan de Fuca Strait,2018-08-10T00:00:00Z,large,1,1,NA,Y,NA,Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,species,Merluccius productus,JF,F27,11,18-08-10,20:20,48 28.477,124 30.917,20:29,48,28.341,124,30.823,21:04,48,28.994,124,32.067,21:09,48 28.807,124 32.219,213,200,200,20:36,20:57,275-330 fm,~2.3,1 basket,-,,southern,48.47235,-124.51371666666667,48.48323333333333,-124.53445,35
11,Pacific Pacific Hake,NA,NA,NA,NA,NA,NA,NA,NA,19,Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,species,Merluccius productus,JF,F27,11,18-08-10,20:20,48 28.477,124 30.917,20:29,48,28.341,124,30.823,21:04,48,28.994,124,32.067,21:09,48 28.807,124 32.219,213,200,200,20:36,20:57,275-330 fm,~2.3,1 basket,-,,southern,48.47235,-124.51371666666667,48.48323333333333,-124.53445,35
11,Walleye Pollock,2,Juan de Fuca Strait,2018-08-10T00:00:00Z,large,1,1,NA,Y,NA,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus,JF,F27,11,18-08-10,20:20,48 28.477,124 30.917,20:29,48,28.341,124,30.823,21:04,48,28.994,124,32.067,21:09,48 28.807,124 32.219,213,200,200,20:36,20:57,275-330 fm,~2.3,1 basket,-,,southern,48.47235,-124.51371666666667,48.48323333333333,-124.53445,35
11,Walleye Pollock,NA,NA,NA,NA,NA,NA,NA,NA,1,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus,JF,F27,11,18-08-10,20:20,48 28.477,124 30.917,20:29,48,28.341,124,30.823,21:04,48,28.994,124,32.067,21:09,48 28.807,124 32.219,213,200,200,20:36,20:57,275-330 fm,~2.3,1 basket,-,,southern,48.47235,-124.51371666666667,48.48323333333333,-124.53445,35
11,Spiny Dogfish,NA,NA,NA,NA,NA,NA,NA,NA,12,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi,JF,F27,11,18-08-10,20:20,48 28.477,124 30.917,20:29,48,28.341,124,30.823,21:04,48,28.994,124,32.067,21:09,48 28.807,124 32.219,213,200,200,20:36,20:57,275-330 fm,~2.3,1 basket,-,,southern,48.47235,-124.51371666666667,48.48323333333333,-124.53445,35
12,Coho Salmon,NA,NA,NA,juvenile,NA,NA,NA,NA,6,Oncorhynchus kisutch,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus kisutch,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Whitebait Smelt,2,Juan de Fuca Strait,2018-08-11T00:00:00Z,NA,2,1,samples taken for isotopes and FA from different individuals (because too small),Y,NA,Allosmerus elongatus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Allosmerus,species,Allosmerus elongatus,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Pink Salmon,2,Juan de Fuca Strait,2018-08-11T00:00:00Z,juvenile,10,5,NA,Y,NA,Oncorhynchus gorbuscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus gorbuscha,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Walleye Pollock,2,Juan de Fuca Strait,2018-08-11T00:00:00Z,juvenile,10,5,samples taken for isotopes and FA from different individuals (because too small),Y,NA,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Eulachon,NA,NA,NA,NA,NA,NA,NA,NA,69,Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,species,Thaleichthys pacificus,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Spiny Dogfish,2,Juan de Fuca Strait,2018-08-11T00:00:00Z,large,2,2,NA,Y,NA,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Chum Salmon,2,Juan de Fuca Strait,2018-08-11T00:00:00Z,juvenile,10,5,NA,Y,NA,Oncorhynchus keta,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus keta,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Spiny Dogfish,2,Juan de Fuca Strait,2018-08-11T00:00:00Z,small,5,5,NA,Y,NA,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,White Bait Smelt,NA,NA,NA,NA,NA,NA,NA,NA,3,Allosmerus elongatus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Allosmerus,species,Allosmerus elongatus,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Walleye Pollock,NA,NA,NA,juvenile,NA,NA,NA,NA,100,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Sockeye Salmon,2,Juan de Fuca Strait,2018-08-11T00:00:00Z,NA,10,5,NA,Y,68,Oncorhynchus nerka,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus nerka,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Chinook Salmon,2,Juan de Fuca Strait,2018-08-11T00:00:00Z,juvenile,1,1,NA,Y,NA,Oncorhynchus tshawytscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus tshawytscha,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Northern Anchovy,2,Juan de Fuca Strait,2018-08-11T00:00:00Z,NA,4,3,NA,Y,4,Engraulis mordax,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,species,Engraulis mordax,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Pacific Herring,2,Juan de Fuca Strait,2018-08-11T00:00:00Z,juvenile,5,5,samples taken for isotopes and FA from different individuals (because too small),Y,NA,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Chum Salmon,NA,NA,NA,juvenile,NA,NA,NA,NA,24,Oncorhynchus keta,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus keta,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Pink Salmon,NA,NA,NA,juvenile,NA,NA,NA,NA,100,Oncorhynchus gorbuscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus gorbuscha,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Chinook Salmon,NA,NA,NA,juvenile,NA,NA,NA,NA,1,Oncorhynchus tshawytscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus tshawytscha,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Pacific Herring,NA,NA,NA,NA,NA,NA,NA,NA,99,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Pacific Herring,2,Juan de Fuca Strait,2018-08-11T00:00:00Z,large,1,1,NA,Y,NA,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Chinook Salmon,2,Juan de Fuca Strait,2018-08-11T00:00:00Z,NA,10,10,NA,Y (we have 8),10,Oncorhynchus tshawytscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus tshawytscha,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Walleye Pollock,NA,NA,NA,NA,NA,NA,NA,NA,53,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Coho Salmon,2,Juan de Fuca Strait,2018-08-11T00:00:00Z,juvenile,6,5,NA,Y,NA,Oncorhynchus kisutch,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus kisutch,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
12,Spiny Dogfish,NA,NA,NA,NA,NA,NA,NA,NA,100,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi,JF,F21,12,18-08-11,19:10,48 26.358,124 17.188,19:19,48,26.396,124,17.286,19:46,48,27.058,124,19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern,48.439933333333336,-124.2881,48.450966666666666,-124.32358333333333,27
13,Pacific Pacific Hake,NA,NA,NA,NA,NA,NA,NA,NA,23,Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,species,Merluccius productus,JF,F19,13,18-08-11,23:08,48 24.352,124 16.443,23:15,48,24.256,124,15.89,23:29,48,23.72,124,14.28,23:36,48 23.353,124 13.691,194,115-140,127.5,23:20,23:25,126-163 fm,4.5-6.1,-,-,Lots of fish larvae.,southern,48.404266666666665,-124.26483333333333,48.39533333333333,-124.238,14
13,Walleye Pollock,NA,NA,NA,NA,NA,NA,NA,NA,101,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus,JF,F19,13,18-08-11,23:08,48 24.352,124 16.443,23:15,48,24.256,124,15.89,23:29,48,23.72,124,14.28,23:36,48 23.353,124 13.691,194,115-140,127.5,23:20,23:25,126-163 fm,4.5-6.1,-,-,Lots of fish larvae.,southern,48.404266666666665,-124.26483333333333,48.39533333333333,-124.238,14
13,Spiny Dogfish,NA,NA,NA,NA,NA,NA,NA,NA,100,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi,JF,F19,13,18-08-11,23:08,48 24.352,124 16.443,23:15,48,24.256,124,15.89,23:29,48,23.72,124,14.28,23:36,48 23.353,124 13.691,194,115-140,127.5,23:20,23:25,126-163 fm,4.5-6.1,-,-,Lots of fish larvae.,southern,48.404266666666665,-124.26483333333333,48.39533333333333,-124.238,14
13,Pacific Herring,NA,NA,NA,NA,NA,NA,NA,NA,100,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii,JF,F19,13,18-08-11,23:08,48 24.352,124 16.443,23:15,48,24.256,124,15.89,23:29,48,23.72,124,14.28,23:36,48 23.353,124 13.691,194,115-140,127.5,23:20,23:25,126-163 fm,4.5-6.1,-,-,Lots of fish larvae.,southern,48.404266666666665,-124.26483333333333,48.39533333333333,-124.238,14
13,Myctophid,2,Juan de Fuca Strait,2018-08-11T00:00:00Z,NA,0,6,NA,?,NA,Diaphus theta,Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,species,Diaphus theta,JF,F19,13,18-08-11,23:08,48 24.352,124 16.443,23:15,48,24.256,124,15.89,23:29,48,23.72,124,14.28,23:36,48 23.353,124 13.691,194,115-140,127.5,23:20,23:25,126-163 fm,4.5-6.1,-,-,Lots of fish larvae.,southern,48.404266666666665,-124.26483333333333,48.39533333333333,-124.238,14
13,Myctophiid sp,NA,NA,NA,NA,NA,NA,NA,NA,6,Diaphus theta,Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,species,Diaphus theta,JF,F19,13,18-08-11,23:08,48 24.352,124 16.443,23:15,48,24.256,124,15.89,23:29,48,23.72,124,14.28,23:36,48 23.353,124 13.691,194,115-140,127.5,23:20,23:25,126-163 fm,4.5-6.1,-,-,Lots of fish larvae.,southern,48.404266666666665,-124.26483333333333,48.39533333333333,-124.238,14
13,Walleye Pollock,NA,NA,NA,NA,NA,NA,NA,NA,6,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus,JF,F19,13,18-08-11,23:08,48 24.352,124 16.443,23:15,48,24.256,124,15.89,23:29,48,23.72,124,14.28,23:36,48 23.353,124 13.691,194,115-140,127.5,23:20,23:25,126-163 fm,4.5-6.1,-,-,Lots of fish larvae.,southern,48.404266666666665,-124.26483333333333,48.39533333333333,-124.238,14
